title,street,city,state,phone,website,category,segment,use_case_en,use_case_es
Zion Lutheran Day School,2800 Pershing Dr,El Paso,Texas,(915) 566-4667,,Preschool,school_k12,"your family days, parent appreciation events and Pre-K graduation","los días familiares, eventos de agradecimiento a padres y la graduación de Pre-K"
Captain Jhon Chapin high school,4700 Alameda Ave,El Paso,Texas,,,General education school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Texas Tech School-Medicine,4800 Alberta Ave,El Paso,Texas,,,Medical school,vocational,"your open houses, recruitment events and graduation ceremonies","los open houses, eventos de reclutamiento y ceremonias de graduación"
El Paso Conservatory of Music,"Trinity Hall, 801 N Mesa St 3rd Floor",El Paso,Texas,(915) 833-0263,http://www.elpasoconservatory.org/,Music school,sports,"your recitals, student showcases and outdoor performances","los recitales, presentaciones de alumnos y muestras al aire libre"
Joe's Flight School & Aviation,8411 Lockheed Dr #2,El Paso,Texas,(915) 781-7733,http://joesflightschool.com/,Flight school,vocational,"your open houses, recruitment events and graduation ceremonies","los open houses, eventos de reclutamiento y ceremonias de graduación"
New Horizons Computer Learning Centers,1625 Hawkins Blvd Suite 100,El Paso,Texas,,https://www.newhorizons.com/,Computer training school,vocational,"your open houses, recruitment events and graduation ceremonies","los open houses, eventos de reclutamiento y ceremonias de graduación"
Guardian Angel Catholic Church,3021 Frutas Ave,El Paso,Texas,(915) 533-2077,https://masstime.us/guardian-angel-catholic-church-el-paso-texas/,Catholic church,church,"your parish kermés, first communions, confirmaciones and outdoor masses","la kermés parroquial, primeras comuniones, confirmaciones y misas al aire libre"
UTEP CAT,"Old Main, 501 Circle Dr",El Paso,Texas,,,Religious destination,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
La Luz Del Mundo,3130 Idalia Ave,El Paso,Texas,(915) 566-5443,,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Iglesia Bautista Nueva Jerusalen,2728 Porter Ave,El Paso,Texas,,,Baptist church,church,"your Vacation Bible School, summer revivals, homecomings and outdoor baptisms","la Escuela Bíblica de Vacaciones, campañas de verano, aniversarios y bautizos al aire libre"
Iglesia De Dios Central,2821 Hamilton Ave,El Paso,Texas,(915) 691-1729,http://www.churchofgod.org/,Christian church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
Emmanuel United Methodist Church,1201 Magoffin Ave,El Paso,Texas,(915) 260-8335,,United Methodist church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
Iglesia Fresca Unción,"6400 Airport Rd BLDG-C,UNIT X",El Paso,Texas,,https://www.facebook.com/share/16vabXTGVD/?mibextid=wwXIfr,Apostolic church,church,"your kermés, conferencias, aniversarios and bautizos","la kermés, conferencias, aniversarios y bautizos"
Church of Scientology Mission of El Paso,1120 El Paso St,El Paso,Texas,(915) 727-5527,http://www.el-paso.scientologymissions.org/,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
S.V.M. Defensive Driving School,5750 Trowbridge Dr,El Paso,Texas,(915) 843-0386,http://svmdrivingschooltx.com/,Driving school,vocational,"your open houses, recruitment events and graduation ceremonies","los open houses, eventos de reclutamiento y ceremonias de graduación"
Pipo Academy of Hair Design,3000 Pershing Dr,El Paso,Texas,(915) 565-3491,https://pipoacademy.com/,Beauty school,vocational,"your open houses, recruitment events and graduation ceremonies","los open houses, eventos de reclutamiento y ceremonias de graduación"
Ut Houston School Public Health,5130 Gtwy Blvd E,El Paso,Texas,(915) 747-8500,https://sph.uth.edu/campuses/el-paso,Graduate school,higher_ed,"your open houses, registration events and graduation receptions","los open houses, eventos de inscripción y recepciones de graduación"
Inspired by Beauty Institute,8700 Boeing Dr,El Paso,Texas,(915) 355-3485,http://inspiredbybeauty.org/,Beauty school,vocational,"your open houses, recruitment events and graduation ceremonies","los open houses, eventos de reclutamiento y ceremonias de graduación"
NHHSA (New Horizons Home School & Academy),10737 Gateway Blvd W Suite 220,El Paso,Texas,(915) 856-7243,https://www.nhhsa.com/,Private educational institution,school_k12,"your open houses, fundraising galas, family days and graduations","los open houses, galas de recaudación, días familiares y graduaciones"
Educare,11057 Bob Stone Dr,El Paso,Texas,(915) 592-1822,,Special education school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
NOVA Career Institute,8720 Gtwy Blvd E Ste E,El Paso,Texas,(915) 222-8187,https://novacareer-institute.com/,Technical school,vocational,"your open houses, recruitment events and graduation ceremonies","los open houses, eventos de reclutamiento y ceremonias de graduación"
"Office of Education, Diocese El Paso",499 St Matthews St,El Paso,Texas,(915) 872-8426,http://elpasocatholicschools.org/,Catholic school,school_k12,"your school masses, family events, fundraisers and graduations","las misas escolares, eventos familiares, recaudaciones y graduaciones"
Ysleta Special Education,9600 Sims Dr,El Paso,Texas,(915) 434-0900,http://www.yisd.net/,Special education school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
El Paso Academy East,11000 Argal Ct,El Paso,Texas,(915) 590-8589,http://www.elpacademy.com/,General education school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
EPLA East (El Paso Leadership Academy),2101 Joe Battle Blvd,El Paso,Texas,(915) 298-3901,https://eplaeast.org/,High school,school_k12,"your graduation, homecoming, prom afterparties and outdoor sports tournaments","la graduación, homecoming, after-party de prom y torneos deportivos al aire libre"
KEYS Academy,12380 Pine Springs Dr,El Paso,Texas,(915) 937-4000,https://www.sisd.net/o/keysacademy,High school,school_k12,"your graduation, homecoming, prom afterparties and outdoor sports tournaments","la graduación, homecoming, after-party de prom y torneos deportivos al aire libre"
Vista Del Sol Environmental Science Academy,11851 Vista del Sol Dr,El Paso,Texas,(915) 937-7500,https://www.sisd.net/o/vistadelsol,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Options High School,12380 Pine Springs Dr,El Paso,Texas,(915) 937-1300,https://www.sisd.net/o/options,High school,school_k12,"your graduation, homecoming, prom afterparties and outdoor sports tournaments","la graduación, homecoming, after-party de prom y torneos deportivos al aire libre"
Premier High School - El Paso (Eastpointe),1231 Lee Trevino Dr,El Paso,Texas,(915) 633-1598,https://premierhighschools.com/,Charter school,school_k12,"your back-to-school events, family nights and end-of-year celebrations","los eventos de regreso a clases, noches familiares y celebraciones de fin de año"
REL Washington International School,3505 Lee Trevino Dr,El Paso,Texas,(915) 434-5900,http://www.yisd.net/relwashington,International school,school_k12,"your open houses, fundraising galas, family days and graduations","los open houses, galas de recaudación, días familiares y graduaciones"
O'Shea Keleher Whole Child Academy,1800 Leroy Bonse Dr,El Paso,Texas,(915) 937-7200,https://www.sisd.net/o/osheakeleher,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Preschool Enrichment Academy,1641 N Zaragoza Rd,El Paso,Texas,(915) 921-5441,,Preschool,school_k12,"your family days, parent appreciation events and Pre-K graduation","los días familiares, eventos de agradecimiento a padres y la graduación de Pre-K"
Rooted Academy of El Paso,10015 Lockerbie Ave,El Paso,Texas,(915) 209-2033,https://www.rootedacademyep.com/admissions-christian-private-school-el-paso,Private educational institution,school_k12,"your open houses, fundraising galas, family days and graduations","los open houses, galas de recaudación, días familiares y graduaciones"
Shavuot Israel,7141 N Loop Dr,El Paso,Texas,,http://www.shavuotisrael.com/,Synagogue,church,"your outdoor services, Sukkot gatherings and community celebrations","los servicios al aire libre, celebraciones de Sukkot y eventos comunitarios"
La Iglesia de Jesucristo de los Santos de los Últimos Días,1212 Sumac Dr,El Paso,Texas,(915) 265-7249,https://local.churchofjesuschrist.org/es/us/tx/el-paso/1212-sumac-drive?utm_source=gmb&utm_medium=yext&y_source=1_NjcwOTMwMTgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,Christian church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
The Rock Faith Center,11201 Armour Dr,El Paso,Texas,(915) 592-7625,https://www.rockfaithcenter.com/,Christian church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
The Church of Jesus Christ of Latter-day Saints,2322 Lee Trevino Dr,El Paso,Texas,(915) 265-7249,https://local.churchofjesuschrist.org/en/us/tx/el-paso/2322-north-lee-trevino-drive?utm_source=gmb&utm_medium=yext&y_source=1_NjcwOTQwODgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,Christian church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
Christ Temple Apostolic Church,11160 Montwood Dr,El Paso,Texas,,,Religious institution,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
"St. Jude Thaddeus Spiritual Bothanic Church ""La Estrella""",201 Fresno Dr,El Paso,Texas,(915) 887-0701,https://www.facebook.com/temploespiritualdesanjudastadeo,Religious goods store,other,your outdoor events and community gatherings,los eventos al aire libre y reuniones comunitarias
Cielo Vista Church,3585 Lee Trevino Dr,El Paso,Texas,(915) 595-0288,http://www.cielovista.church/,Non-denominational church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
Abundant Church,1000 Valley Crest Dr,El Paso,Texas,(915) 532-8543,http://www.abundant.org/,Non-denominational church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
St. Thomas Aquinas Roman Catholic Church,10970 Bywood Dr,El Paso,Texas,(915) 592-1313,http://stthomas-elpaso.com/,Catholic church,church,"your parish kermés, first communions, confirmaciones and outdoor masses","la kermés parroquial, primeras comuniones, confirmaciones y misas al aire libre"
Del Sol Church East,11501 Vista del Sol Dr,El Paso,Texas,(915) 855-3798,http://delsolchurch.com/,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Crosspoint Church,11995 Montwood Dr,El Paso,Texas,(915) 857-7492,http://www.crosspointelpaso.com/,Christian church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
St. Mark Catholic Church,11700 Pebble Hills Blvd,El Paso,Texas,(915) 300-2800,https://www.smccep.org/,Catholic church,church,"your parish kermés, first communions, confirmaciones and outdoor masses","la kermés parroquial, primeras comuniones, confirmaciones y misas al aire libre"
Word of Life Church,11675 Pratt Ave,El Paso,Texas,(915) 855-9673,http://www.tbm.org/,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
LifeGate Church,10555 Edgemere Blvd,El Paso,Texas,(915) 593-1122,http://www.lifegatechurchelpaso.com/,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Calvary Chapel of El Paso,1771 N Zaragoza Rd,El Paso,Texas,(915) 855-4565,http://www.calvaryep.com/,Calvary Chapel church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
Corpus Christi Catholic Church,9205 N Loop Dr,El Paso,Texas,(915) 858-0488,http://www.corpuschristicc.com/,Catholic church,church,"your parish kermés, first communions, confirmaciones and outdoor masses","la kermés parroquial, primeras comuniones, confirmaciones y misas al aire libre"
The Door Christian Center,1000 Kastrin St,El Paso,Texas,(915) 309-3091,http://www.elpasochristianchurch.com/,Non-denominational church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
Christian Joy Center,1208 Sumac Dr,El Paso,Texas,(915) 595-1307,http://www.joycenter.org/,Protestant church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
Vista Hills Church A Christian Fellowship,2301 Lee Trevino Dr,El Paso,Texas,(915) 591-4400,http://vistahillschurch.org/,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
St. Stephen Deacon & Martyr Church,1700 George Dieter Dr,El Paso,Texas,(915) 855-1661,http://ststephenelpaso.org/,Catholic church,church,"your parish kermés, first communions, confirmaciones and outdoor masses","la kermés parroquial, primeras comuniones, confirmaciones y misas al aire libre"
St Raphael Catholic Church,2301 Zanzibar Rd,El Paso,Texas,(915) 598-3431,http://www.straphaelelpaso.com/,Catholic church,church,"your parish kermés, first communions, confirmaciones and outdoor masses","la kermés parroquial, primeras comuniones, confirmaciones y misas al aire libre"
Missio Dei Church,11601 Montwood Dr,El Paso,Texas,(915) 857-5100,http://missiodeicrc.com/,Christian church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
Montwood Church of Christ,11845 Bob Mitchell Dr,El Paso,Texas,(915) 855-9896,https://www.montwood.org/,Church of Christ,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
LIFEchurch El Paso,1580 Joe Battle Blvd,El Paso,Texas,(915) 308-9993,http://lifechurchelpaso.com/,Non-denominational church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
St. Francis Xavier Catholic Church & Parish,519 S Latta St,El Paso,Texas,(915) 532-2761,https://www.stfrancisxaviercatholicchurch.com/,Catholic church,church,"your parish kermés, first communions, confirmaciones and outdoor masses","la kermés parroquial, primeras comuniones, confirmaciones y misas al aire libre"
Harmony Science Academy - El Paso,9405 Betel Dr,El Paso,Texas,(915) 859-4620,https://hsaelpaso.harmonytx.org/,High school,school_k12,"your graduation, homecoming, prom afterparties and outdoor sports tournaments","la graduación, homecoming, after-party de prom y torneos deportivos al aire libre"
Del Valle Elementary School,9251 Escobar Dr,El Paso,Texas,(915) 434-9300,http://delvalleelementary.yisd.net/,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
"Cultural Technical Institute, LLC (CTI)",1510 N Zaragoza Rd B13,El Paso,Texas,(915) 591-4141,http://www.cultural-tech.com/,Trade school,vocational,"your open houses, recruitment events and graduation ceremonies","los open houses, eventos de reclutamiento y ceremonias de graduación"
Cielo Vista Elementary School,9000 Basil Ct,El Paso,Texas,(915) 236-8375,http://cielovista.episd.org/,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Bill Sybert School,11530 Edgemere Blvd,El Paso,Texas,(915) 937-4400,https://www.sisd.net/o/billsybert,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
El Paso Classical Academy - Pre K-12,8960 Escobar Dr,El Paso,Texas,(915) 594-3305,https://foundersclassical.com/elpaso/,Charter school,school_k12,"your back-to-school events, family nights and end-of-year celebrations","los eventos de regreso a clases, noches familiares y celebraciones de fin de año"
Paso Del Norte Fine Arts Academy,12300 Tierra Este Rd,El Paso,Texas,(915) 937-6200,https://www.sisd.net/o/pasodelnorte,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Sierra Vista STEAM Academy,1501 Bob Hope Dr,El Paso,Texas,(915) 937-8100,https://www.sisd.net/o/sierravista,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Pasodale Elementary School,8253 Mc Elroy Avenue,El Paso,Texas,(915) 434-8500,https://www.yisd.net/pasodale,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
New World Montessori School,3510 N Yarbrough Dr,El Paso,Texas,(915) 593-8091,http://www.nworldmontessori.org/,Montessori school,school_k12,"your outdoor learning days, family picnics and community open houses","los días de aprendizaje al aire libre, días de campo familiares y open houses comunitarios"
Edison Hope Christian Academy,2807 N Yarbrough Dr,El Paso,Texas,(915) 227-1539,,Private educational institution,school_k12,"your open houses, fundraising galas, family days and graduations","los open houses, galas de recaudación, días familiares y graduaciones"
St. Frances Xavier Cabrini Catholic Church,12200 Vista del Sol Dr,El Paso,Texas,(915) 857-1263,http://www.stfrancesxaviercabrini.org/,Catholic church,church,"your parish kermés, first communions, confirmaciones and outdoor masses","la kermés parroquial, primeras comuniones, confirmaciones y misas al aire libre"
Bethany Christian Church,10453 Springwood Dr,El Paso,Texas,(915) 592-5977,https://bethanychristianchurchofelpaso.com/,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Cornerstone Church El Paso,"GECU Plaza, 12400 Montwood Dr Ste. D",El Paso,Texas,(915) 300-0071,http://www.mycornerstonechurch.org/,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
St Timothy Lutheran Church,11050 Montwood Dr,El Paso,Texas,(915) 598-2621,http://www.sainttim.com/,Evangelical church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
IM Church,440 S Yarbrough Dr,El Paso,Texas,(915) 704-7300,http://ignitemovement.org/,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Life Worth Living Church,9100 Mayflower Ave Suite J,El Paso,Texas,(915) 308-3419,http://www.lifeworthlivingchurch.org/,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Santo Nino De Atocha Church,210 S Clark Dr,El Paso,Texas,(915) 779-3164,,Catholic church,church,"your parish kermés, first communions, confirmaciones and outdoor masses","la kermés parroquial, primeras comuniones, confirmaciones y misas al aire libre"
Cristo Rey Catholic Church,8011 Williamette Ave,El Paso,Texas,(915) 591-0688,http://cristo-church.poi.place/,Catholic church,church,"your parish kermés, first communions, confirmaciones and outdoor masses","la kermés parroquial, primeras comuniones, confirmaciones y misas al aire libre"
"Power of The Gospel Church | Iglesia El Poder Del Evangelio - El Paso, TX",2200 Lee Trevino Dr B3b,El Paso,Texas,,https://linktr.ee/powerofthegospelchurch_elpaso?utm_source=linktree_profile_share&ltsid=7d641397-3774-4cb3-b052-a77f6b812e66,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Valle Verde Early College High School,919 Hunter Dr,El Paso,Texas,(915) 434-1500,,High school,school_k12,"your graduation, homecoming, prom afterparties and outdoor sports tournaments","la graduación, homecoming, after-party de prom y torneos deportivos al aire libre"
Del Valle Middle School,8674 N Loop Dr,El Paso,Texas,(915) 434-3300,https://www.yisd.net/page/143,Middle school,school_k12,"your back-to-school night, fall festival, dances and sports tournaments","la noche de regreso a clases, festival de otoño, bailes y torneos deportivos"
El Paso Adventist Academy,3510 George Dieter Dr,El Paso,Texas,(915) 855-7312,https://epaja.org/,Private educational institution,school_k12,"your open houses, fundraising galas, family days and graduations","los open houses, galas de recaudación, días familiares y graduaciones"
J.M. Hanks Early College High School,2001 Lee Trevino Dr,El Paso,Texas,(915) 434-5000,https://www.yisd.net/o/jmhechs,High school,school_k12,"your graduation, homecoming, prom afterparties and outdoor sports tournaments","la graduación, homecoming, after-party de prom y torneos deportivos al aire libre"
East Point Elementary School,2400 Zanzibar Rd,El Paso,Texas,(915) 434-4500,http://eastpoint.yisd.net/,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Vista Del Futuro Elementary,1671 Bob Hope Dr,El Paso,Texas,(915) 855-8143,http://www.burnhamwood.org/?page_id=23,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Eastwood High School,2430 McRae Blvd,El Paso,Texas,(915) 434-4000,https://www.yisd.net/eastwoodhigh,High school,school_k12,"your graduation, homecoming, prom afterparties and outdoor sports tournaments","la graduación, homecoming, after-party de prom y torneos deportivos al aire libre"
Cadwallader School,7988 Alameda Ave #79915,El Paso,Texas,(915) 434-7500,http://thomasmanor.yisd.net/,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Americas High School,12101 Pellicano Dr,El Paso,Texas,(915) 937-2800,https://www.sisd.net/o/americas,High school,school_k12,"your graduation, homecoming, prom afterparties and outdoor sports tournaments","la graduación, homecoming, after-party de prom y torneos deportivos al aire libre"
Del Norte Heights Elementary,1800 Winslow Rd,El Paso,Texas,(915) 434-2400,,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Young Women's Leadership Academy,8040 Yermoland Dr,El Paso,Texas,(915) 434-1300,http://www.yisd.net/Page/6806,High school,school_k12,"your graduation, homecoming, prom afterparties and outdoor sports tournaments","la graduación, homecoming, after-party de prom y torneos deportivos al aire libre"
Chester E. Jordan Elementary,13995 Jason Crandall Dr,El Paso,Texas,(915) 937-8801,https://www.sisd.net/o/chesterjordan,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
San Antonio Catholic Church,503 Hunter Dr,El Paso,Texas,(915) 598-1457,http://san-church.poi.place/,Catholic church,church,"your parish kermés, first communions, confirmaciones and outdoor masses","la kermés parroquial, primeras comuniones, confirmaciones y misas al aire libre"
Eastwood Church of Christ,10104 Album Ave,El Paso,Texas,(915) 593-2772,http://www.eastwoodchurchofchrist.org/,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Our Lady of the Valley Catholic Church,8600 Winchester Rd,El Paso,Texas,(915) 859-7939,http://www.olvchurcheptx.org/?fbclid=IwVERDUAQ_hyVleHRuA2FlbQIxMABzcnRjBmFwcF9pZAo2NjI4NTY4Mzc5AAEeRHG-6z0-nzKSb-dsKoSV9W5D4QgQUHBCIWxftbgqbscTaMonr1mCQIetWe4_aem_rHvCStaheu1IaUTwYuNZbA,Catholic church,church,"your parish kermés, first communions, confirmaciones and outdoor masses","la kermés parroquial, primeras comuniones, confirmaciones y misas al aire libre"
Freedom Fellowship EP,10950 Pellicano Dr C1,El Paso,Texas,(915) 355-7046,https://www.freedomfellowshipep.com/,Christian church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
Iglesia Cristiana Nuevo Pacto,1401 Lomaland Dr,El Paso,Texas,(915) 591-4092,http://www.nuevopactoelpaso.com/,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Centro Cristiano Cantico Nuevo,11530 Pellicano Dr,El Paso,Texas,(915) 633-6320,http://www.canticonuevo.tv/,Church,church,"your summer festivals, outdoor services and family gatherings","los festivales de verano, servicios al aire libre y convivencias familiares"
Mesa Place Church,985 Loma Verde Dr,El Paso,Texas,(915) 465-1201,http://www.mesaplacechurch.com/,Christian church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
Little Flower Catholic Church,171 Polo Inn Rd,El Paso,Texas,(915) 772-1285,https://masstime.us/little-flower-catholic-church-el-paso-texas/,Catholic church,church,"your parish kermés, first communions, confirmaciones and outdoor masses","la kermés parroquial, primeras comuniones, confirmaciones y misas al aire libre"
Living Water Christian Center,7966 Esther Rd,El Paso,Texas,(404) 480-8182,http://www.lwccep.com/,Assemblies of God church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
Church of Christ At Eastridge,3277 Pendleton St,El Paso,Texas,(915) 855-1524,http://elpasochurchofchrist.com/,Church of Christ,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
Christ Our Redeemer (WELS),2500 George Dieter Dr,El Paso,Texas,(915) 304-1888,http://www.corwels.org/,Lutheran church,church,"your outreach events, summer worship nights and family fun days","los eventos de alcance, noches de adoración al aire libre y días familiares"
Calvary Mission Valley School,8069 Alameda Ave,El Paso,Texas,(915) 235-1400,https://cmvs.institute/,Private educational institution,school_k12,"your open houses, fundraising galas, family days and graduations","los open houses, galas de recaudación, días familiares y graduaciones"
Capt. Walter E. Clarke Middle,1515 Bob Hope Dr,El Paso,Texas,(915) 937-5600,https://www.sisd.net/o/captwalterclarke,Middle school,school_k12,"your back-to-school night, fall festival, dances and sports tournaments","la noche de regreso a clases, festival de otoño, bailes y torneos deportivos"
Triumph Public High Schools - El Paso East,1599 George Dieter Dr,El Paso,Texas,(915) 298-3637,https://www.triumphpublicschools.org/,High school,school_k12,"your graduation, homecoming, prom afterparties and outdoor sports tournaments","la graduación, homecoming, after-party de prom y torneos deportivos al aire libre"
J.M. Hanks Middle School,11201 Pebble Hills Blvd,El Paso,Texas,(915) 434-5300,https://www.yisd.net/hanksmiddle,Middle school,school_k12,"your back-to-school night, fall festival, dances and sports tournaments","la noche de regreso a clases, festival de otoño, bailes y torneos deportivos"
Sun Ridge Middle School,2210 Sun Country Dr,El Paso,Texas,(915) 937-6600,https://www.sisd.net/o/sunridge,Middle school,school_k12,"your back-to-school night, fall festival, dances and sports tournaments","la noche de regreso a clases, festival de otoño, bailes y torneos deportivos"
Bel Air High School Health Professions,7930-7998 Santa Maria Rd,El Paso,Texas,(915) 434-2000,https://www.yisd.net/belair,High school,school_k12,"your graduation, homecoming, prom afterparties and outdoor sports tournaments","la graduación, homecoming, after-party de prom y torneos deportivos al aire libre"
Myrtle Cooper Elementary,1515 Rebecca Ann Dr,El Paso,Texas,(915) 937-7700,https://www.sisd.net/o/myrtlecooper,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Hurshel Antwine Middle,3830 Rich Beem Blvd,El Paso,Texas,(915) 937-6400,https://www.sisd.net/o/hurshelantwine,Middle school,school_k12,"your back-to-school night, fall festival, dances and sports tournaments","la noche de regreso a clases, festival de otoño, bailes y torneos deportivos"
Élfida P. Chávez Elementary,11720 Pebble Hills Blvd,El Paso,Texas,(915) 937-8300,https://www.sisd.net/o/elfidachavez,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Bel Air Middle School,7909 Ranchland Dr,El Paso,Texas,(915) 434-2200,http://belairmiddle.yisd.net/,Middle school,school_k12,"your back-to-school night, fall festival, dances and sports tournaments","la noche de regreso a clases, festival de otoño, bailes y torneos deportivos"
Loma Terrace Elementary School,8200 Ryland Ct,El Paso,Texas,(915) 434-2600,https://www.yisd.net/o/lomaterrace,Elementary school,school_k12,"your field day, fall carnival, back-to-school night and end-of-year celebration","el field day, el carnaval de otoño, la noche de regreso a clases y la celebración de fin de año"
Our Lady of Mount Carmel Catholic Church,131 S Zaragoza Rd,El Paso,Texas,(915) 859-9848,https://www.ysletamission.org/,Catholic church,church,"your parish kermés, first communions, confirmaciones and outdoor masses","la kermés parroquial, primeras comuniones, confirmaciones y misas al aire libre"
